# tD=1.995494 xmax=-55.399895 tmax=-1.046290 ymax=-9.768496
t(s)	xsur(m)	ysur(m)	vx(m/s)	vy(m/s)	v(m/s)
0.000000	-0.000000	-0.000000	-27.762497	-10.260604	29.999998
0.000000	-0.000000	-0.000000	-27.762497	-10.260604	29.999998
0.000000	-0.000000	-0.000000	-27.762497	-10.260604	29.999998
0.010000	-0.277625	-0.048953	-27.762497	-10.358670	30.033682
0.020000	-0.555250	-0.097906	-27.762497	-10.456737	30.067646
0.030000	-0.832875	-0.146858	-27.762497	-10.554804	30.101891
0.040000	-1.110500	-0.195811	-27.762497	-10.652870	30.136417
0.050000	-1.388125	-0.244764	-27.762497	-10.750937	30.171221
0.060000	-1.665750	-0.293717	-27.762497	-10.849003	30.206305
0.070000	-1.943375	-0.342669	-27.762497	-10.947069	30.241665
0.080000	-2.220999	-0.391622	-27.762497	-11.045135	30.277302
0.090000	-2.498624	-0.440575	-27.762497	-11.143202	30.313213
0.100000	-2.776249	-0.489528	-27.762497	-11.241269	30.349401
0.110000	-3.053874	-0.538480	-27.762497	-11.339335	30.385860
0.120000	-3.331499	-0.587433	-27.762497	-11.437402	30.422592
0.130000	-3.609124	-0.636386	-27.762497	-11.535468	30.459597
0.140000	-3.886749	-0.685339	-27.762497	-11.633534	30.496870
0.150000	-4.164374	-0.734291	-27.762497	-11.731602	30.534414
0.160000	-4.441999	-0.783244	-27.762497	-11.829668	30.572226
0.170000	-4.719625	-0.832197	-27.762497	-11.927734	30.610306
0.180000	-4.997250	-0.881150	-27.762497	-12.025801	30.648651
0.190000	-5.274875	-0.930103	-27.762497	-12.123867	30.687263
0.200000	-5.552500	-0.979055	-27.762497	-12.221934	30.726139
0.210000	-5.830125	-1.028008	-27.762497	-12.320001	30.765278
0.220000	-6.107750	-1.076961	-27.762497	-12.418067	30.804680
0.230000	-6.385375	-1.125914	-27.762497	-12.516134	30.844345
0.240000	-6.663001	-1.174867	-27.762497	-12.614201	30.884268
0.250000	-6.940625	-1.223819	-27.762497	-12.712267	30.924452
0.260000	-7.218250	-1.272772	-27.762497	-12.810333	30.964893
0.270000	-7.495874	-1.321725	-27.762497	-12.908400	31.005592
0.280000	-7.773499	-1.370678	-27.762497	-13.006466	31.046547
0.290000	-8.051124	-1.419630	-27.762497	-13.104532	31.087759
0.300000	-8.328749	-1.468583	-27.762497	-13.202599	31.129223
0.310000	-8.606373	-1.517536	-27.762497	-13.300665	31.170942
0.320000	-8.883998	-1.566489	-27.762497	-13.398731	31.212914
0.330000	-9.161623	-1.615441	-27.762497	-13.496798	31.255136
0.340000	-9.439247	-1.664394	-27.762497	-13.594864	31.297607
0.350000	-9.716872	-1.713347	-27.762497	-13.692931	31.340330
0.360000	-9.994496	-1.762299	-27.762497	-13.790998	31.383301
0.370000	-10.272121	-1.811252	-27.762497	-13.889064	31.426519
0.380000	-10.549747	-1.860205	-27.762497	-13.987130	31.469982
0.390000	-10.827371	-1.909158	-27.762497	-14.085196	31.513691
0.400000	-11.104996	-1.958110	-27.762497	-14.183263	31.557644
0.410000	-11.382621	-2.007063	-27.762497	-14.281329	31.601841
0.420000	-11.660245	-2.056016	-27.762497	-14.379395	31.646280
0.430000	-11.937870	-2.104968	-27.762497	-14.477463	31.690960
0.440000	-12.215494	-2.153921	-27.762497	-14.575529	31.735880
0.450000	-12.493119	-2.202874	-27.762497	-14.673595	31.781038
0.460000	-12.770744	-2.251827	-27.762497	-14.771662	31.826435
0.470000	-13.048368	-2.300779	-27.762497	-14.869728	31.872068
0.480000	-13.325994	-2.349732	-27.762497	-14.967794	31.917938
0.490000	-13.603618	-2.398685	-27.762497	-15.065861	31.964045
0.500000	-13.881243	-2.447638	-27.762497	-15.163927	32.010384
0.510000	-14.158868	-2.496590	-27.762497	-15.261993	32.056957
0.520000	-14.436493	-2.545543	-27.762497	-15.360060	32.103760
0.530000	-14.714118	-2.594496	-27.762497	-15.458126	32.150795
0.540000	-14.991742	-2.643449	-27.762497	-15.556192	32.198059
0.550000	-15.269367	-2.692401	-27.762497	-15.654259	32.245556
0.560000	-15.546991	-2.741354	-27.762497	-15.752325	32.293278
0.570000	-15.824616	-2.790307	-27.762497	-15.850391	32.341225
0.580000	-16.102242	-2.839259	-27.762497	-15.948459	32.389400
0.590000	-16.379866	-2.888212	-27.762497	-16.046524	32.437801
0.600000	-16.657490	-2.937165	-27.762497	-16.144592	32.486423
0.610000	-16.935116	-2.986118	-27.762497	-16.242657	32.535271
0.620000	-17.212740	-3.035070	-27.762497	-16.340725	32.584339
0.630000	-17.490364	-3.084023	-27.762497	-16.438789	32.633629
0.640000	-17.767990	-3.132976	-27.762497	-16.536858	32.683140
0.650000	-18.045614	-3.181928	-27.762497	-16.634924	32.732868
0.660000	-18.323238	-3.230881	-27.762497	-16.732990	32.782814
0.670000	-18.600864	-3.279834	-27.762497	-16.831057	32.832977
0.680000	-18.878489	-3.328787	-27.762497	-16.929123	32.883358
0.690000	-19.156113	-3.377739	-27.762497	-17.027189	32.933952
0.700000	-19.433737	-3.426692	-27.762497	-17.125256	32.984760
0.710000	-19.711363	-3.475645	-27.762497	-17.223322	33.035782
0.720000	-19.988987	-3.524598	-27.762497	-17.321388	33.087013
0.730000	-20.266611	-3.573550	-27.762497	-17.419455	33.138458
0.740000	-20.544237	-3.622503	-27.762497	-17.517521	33.190113
0.750000	-20.821861	-3.671456	-27.762497	-17.615587	33.241974
0.760000	-21.099485	-3.720408	-27.762497	-17.713654	33.294048
0.770000	-21.377111	-3.769361	-27.762497	-17.811720	33.346325
0.780000	-21.654736	-3.818314	-27.762497	-17.909786	33.398808
0.790000	-21.932360	-3.867267	-27.762497	-18.007853	33.451496
0.800000	-22.209984	-3.916219	-27.762497	-18.105919	33.504391
0.810000	-22.487610	-3.965172	-27.762497	-18.203985	33.557487
0.820000	-22.765234	-4.014125	-27.762497	-18.302052	33.610786
0.830000	-23.042858	-4.063077	-27.762497	-18.400120	33.664291
0.839999	-23.320484	-4.112030	-27.762497	-18.498184	33.717991
0.849999	-23.598108	-4.160983	-27.762497	-18.596252	33.771889
0.859999	-23.875732	-4.209936	-27.762497	-18.694317	33.825989
0.869999	-24.153358	-4.258888	-27.762497	-18.792385	33.880287
0.879999	-24.430983	-4.307841	-27.762497	-18.890450	33.934776
0.889999	-24.708607	-4.356794	-27.762497	-18.988518	33.989468
0.899999	-24.986231	-4.405746	-27.762497	-19.086582	34.044346
0.909999	-25.263857	-4.454700	-27.762497	-19.184650	34.099426
0.919999	-25.541481	-4.503652	-27.762497	-19.282717	34.154694
0.929999	-25.819105	-4.552605	-27.762497	-19.380783	34.210155
0.939999	-26.096731	-4.601557	-27.762497	-19.478849	34.265808
0.949999	-26.374355	-4.650510	-27.762497	-19.576916	34.321648
0.959999	-26.651979	-4.699463	-27.762497	-19.674982	34.377682
0.969999	-26.929605	-4.748415	-27.762497	-19.773048	34.433899
0.979999	-27.207230	-4.797369	-27.762497	-19.871115	34.490307
0.989999	-27.484854	-4.846321	-27.762497	-19.969181	34.546898
0.999999	-27.762478	-4.895274	-27.762497	-20.067247	34.603676
1.009999	-28.040106	-4.944227	-27.762497	-20.165314	34.660637
1.019999	-28.317730	-4.993179	-27.762497	-20.263382	34.717785
1.029999	-28.595354	-5.042132	-27.762497	-20.361446	34.775112
1.039999	-28.872980	-5.091085	-27.762497	-20.459515	34.832626
1.049999	-29.150604	-5.140038	-27.762497	-20.557579	34.890312
1.059999	-29.428228	-5.188991	-27.762497	-20.655647	34.948185
1.069999	-29.705853	-5.237943	-27.762497	-20.753712	35.006237
1.079999	-29.983479	-5.286896	-27.762497	-20.851780	35.064465
1.089999	-30.261103	-5.335849	-27.762497	-20.949846	35.122871
1.099999	-30.538727	-5.384801	-27.762497	-21.047913	35.181454
1.109999	-30.816353	-5.433754	-27.762497	-21.145979	35.240211
1.119999	-31.093977	-5.482707	-27.762497	-21.244045	35.299141
1.129999	-31.371601	-5.531660	-27.762497	-21.342112	35.358250
1.139999	-31.649227	-5.580612	-27.762497	-21.440178	35.417526
1.149999	-31.926851	-5.629565	-27.762497	-21.538244	35.476978
1.159999	-32.204475	-5.678518	-27.762497	-21.636311	35.536598
1.169999	-32.482101	-5.727470	-27.762497	-21.734377	35.596394
1.179999	-32.759724	-5.776423	-27.762497	-21.832443	35.656353
1.189999	-33.037350	-5.825376	-27.762497	-21.930510	35.716484
1.199999	-33.314976	-5.874329	-27.762497	-22.028576	35.776783
1.209999	-33.592598	-5.923281	-27.762497	-22.126644	35.837250
1.219999	-33.870224	-5.972234	-27.762497	-22.224709	35.897881
1.229999	-34.147850	-6.021187	-27.762497	-22.322777	35.958675
1.239999	-34.425472	-6.070139	-27.762497	-22.420841	36.019634
1.249999	-34.703098	-6.119092	-27.762497	-22.518909	36.080761
1.259999	-34.980724	-6.168045	-27.762497	-22.616974	36.142044
1.269999	-35.258347	-6.216998	-27.762497	-22.715042	36.203495
1.279999	-35.535973	-6.265950	-27.762497	-22.813107	36.265102
1.289999	-35.813599	-6.314903	-27.762497	-22.911175	36.326874
1.299999	-36.091221	-6.363856	-27.762497	-23.009239	36.388805
1.309999	-36.368847	-6.412808	-27.762497	-23.107307	36.450893
1.319999	-36.646469	-6.461761	-27.762497	-23.205372	36.513138
1.329999	-36.924095	-6.510714	-27.762497	-23.303440	36.575542
1.339999	-37.201721	-6.559667	-27.762497	-23.401506	36.638100
1.349999	-37.479343	-6.608619	-27.762497	-23.499573	36.700817
1.359999	-37.756969	-6.657572	-27.762497	-23.597639	36.763687
1.369999	-38.034595	-6.706525	-27.762497	-23.695705	36.826710
1.379999	-38.312218	-6.755477	-27.762497	-23.793772	36.889885
1.389999	-38.589844	-6.804430	-27.762497	-23.891838	36.953213
1.399999	-38.867470	-6.853383	-27.762497	-23.989904	37.016693
1.409999	-39.145092	-6.902336	-27.762497	-24.087971	37.080322
1.419999	-39.422718	-6.951289	-27.762497	-24.186037	37.144104
1.429999	-39.700344	-7.000241	-27.762497	-24.284103	37.208031
1.439999	-39.977966	-7.049194	-27.762497	-24.382170	37.272110
1.449999	-40.255592	-7.098146	-27.762497	-24.480236	37.336334
1.459999	-40.533218	-7.147099	-27.762497	-24.578304	37.400707
1.469999	-40.810841	-7.196052	-27.762497	-24.676369	37.465225
1.479999	-41.088467	-7.245005	-27.762497	-24.774437	37.529892
1.489999	-41.366093	-7.293958	-27.762497	-24.872501	37.594700
1.499999	-41.643715	-7.342910	-27.762497	-24.970570	37.659649
1.509999	-41.921341	-7.391863	-27.762497	-25.068634	37.724747
1.519999	-42.198963	-7.440816	-27.762497	-25.166702	37.789986
1.529999	-42.476589	-7.489769	-27.762497	-25.264767	37.855362
1.539999	-42.754215	-7.538721	-27.762497	-25.362835	37.920883
1.549999	-43.031837	-7.587674	-27.762497	-25.460899	37.986542
1.559999	-43.309464	-7.636627	-27.762497	-25.558968	38.052341
1.569999	-43.587090	-7.685579	-27.762497	-25.657034	38.118282
1.579999	-43.864712	-7.734532	-27.762497	-25.755100	38.184357
1.589999	-44.142338	-7.783485	-27.762497	-25.853167	38.250572
1.599999	-44.419964	-7.832438	-27.762497	-25.951233	38.316921
1.609999	-44.697586	-7.881390	-27.762497	-26.049299	38.383408
1.619999	-44.975212	-7.930343	-27.762497	-26.147366	38.450031
1.629999	-45.252838	-7.979296	-27.762497	-26.245432	38.516785
1.639999	-45.530460	-8.028249	-27.762497	-26.343498	38.583675
1.649999	-45.808086	-8.077201	-27.762497	-26.441566	38.650700
1.659999	-46.085712	-8.126154	-27.762497	-26.539631	38.717850
1.669999	-46.363335	-8.175107	-27.762497	-26.637699	38.785137
1.679999	-46.640961	-8.224059	-27.762497	-26.735764	38.852554
1.689999	-46.918587	-8.273012	-27.762497	-26.833832	38.920101
1.699999	-47.196209	-8.321965	-27.762497	-26.931896	38.987782
1.709999	-47.473835	-8.370917	-27.762497	-27.029964	39.055588
1.719999	-47.751461	-8.419870	-27.762497	-27.128029	39.123520
1.729999	-48.029083	-8.468822	-27.762497	-27.226097	39.191586
1.739999	-48.306709	-8.517776	-27.762497	-27.324162	39.259773
1.749999	-48.584332	-8.566729	-27.762497	-27.422230	39.328091
1.759999	-48.861958	-8.615681	-27.762497	-27.520294	39.396530
1.769999	-49.139584	-8.664634	-27.762497	-27.618362	39.465096
1.779999	-49.417206	-8.713587	-27.762497	-27.716427	39.533787
1.789999	-49.694832	-8.762539	-27.762497	-27.814495	39.602604
1.799999	-49.972458	-8.811492	-27.762497	-27.912560	39.671539
1.809999	-50.250080	-8.860445	-27.762497	-28.010628	39.740601
1.819999	-50.527706	-8.909397	-27.762497	-28.108692	39.809780
1.829999	-50.805332	-8.958350	-27.762497	-28.206760	39.879082
1.839999	-51.082954	-9.007303	-27.762497	-28.304825	39.948505
1.849999	-51.360580	-9.056255	-27.762497	-28.402893	40.018051
1.859999	-51.638206	-9.105208	-27.762497	-28.500957	40.087711
1.869999	-51.915829	-9.154161	-27.762497	-28.599026	40.157494
1.879999	-52.193455	-9.203114	-27.762497	-28.697094	40.227394
1.889999	-52.471081	-9.252067	-27.762497	-28.795158	40.297409
1.899999	-52.748703	-9.301020	-27.762497	-28.893227	40.367542
1.909999	-53.026329	-9.349972	-27.762497	-28.991291	40.437790
1.919999	-53.303955	-9.398925	-27.762497	-29.089359	40.508156
1.929999	-53.581577	-9.447877	-27.762497	-29.187424	40.578636
1.939999	-53.859203	-9.496830	-27.762497	-29.285492	40.649231
1.949998	-54.136826	-9.545783	-27.762497	-29.383556	40.719936
1.959998	-54.414452	-9.594735	-27.762497	-29.481625	40.790760
1.969998	-54.692078	-9.643688	-27.762497	-29.579689	40.861694
1.979998	-54.969700	-9.692641	-27.762497	-29.677757	40.932739
1.989998	-55.247326	-9.741593	-27.762497	-29.775822	41.003899
