# y0=10.000000 v0=20.000000 alfa=35.000000 a=1.000000
# tD=3.015792 xmax=49.407845 tmax=1.169770 ymax=22.981333
t(s)	xsur(m)	ysur(m)	vx(m/s)	vy(m/s)	v(m/s)
0.000000	0.000000	10.000000	16.383041	11.471529	20.000000
0.000000	0.000000	10.000000	16.383041	11.471529	20.000000
0.000000	0.000000	10.000000	16.383041	11.471529	20.000000
0.010000	0.163830	10.114225	16.383041	11.373463	19.943914
0.020000	0.327661	10.227468	16.383041	11.275396	19.888153
0.030000	0.491491	10.339733	16.383041	11.177329	19.832718
0.040000	0.655322	10.451016	16.383041	11.079263	19.777617
0.050000	0.819152	10.561317	16.383041	10.981196	19.722847
0.060000	0.982982	10.670640	16.383041	10.883130	19.668415
0.070000	1.146813	10.778981	16.383041	10.785064	19.614323
0.080000	1.310643	10.886341	16.383041	10.686997	19.560572
0.090000	1.474474	10.992721	16.383041	10.588930	19.507164
0.100000	1.638304	11.098120	16.383041	10.490864	19.454107
0.110000	1.802134	11.202538	16.383041	10.392797	19.401400
0.120000	1.965965	11.305975	16.383041	10.294731	19.349045
0.130000	2.129795	11.408433	16.383041	10.196665	19.297047
0.140000	2.293626	11.509909	16.383041	10.098598	19.245409
0.150000	2.457456	11.610404	16.383041	10.000531	19.194132
0.160000	2.621287	11.709919	16.383041	9.902465	19.143219
0.170000	2.785117	11.808454	16.383041	9.804399	19.092676
0.180000	2.948948	11.906008	16.383041	9.706332	19.042503
0.190000	3.112778	12.002581	16.383041	9.608265	18.992704
0.200000	3.276608	12.098173	16.383041	9.510199	18.943281
0.210000	3.440439	12.192784	16.383041	9.412132	18.894239
0.220000	3.604270	12.286416	16.383041	9.314066	18.845579
0.230000	3.768100	12.379066	16.383041	9.216000	18.797306
0.240000	3.931931	12.470736	16.383041	9.117932	18.749420
0.250000	4.095761	12.561425	16.383041	9.019866	18.701925
0.260000	4.259591	12.651133	16.383041	8.921800	18.654827
0.270000	4.423421	12.739861	16.383041	8.823733	18.608126
0.280000	4.587252	12.827608	16.383041	8.725667	18.561825
0.290000	4.751082	12.914373	16.383041	8.627601	18.515926
0.300000	4.914912	13.000159	16.383041	8.529534	18.470436
0.310000	5.078743	13.084964	16.383041	8.431468	18.425356
0.320000	5.242573	13.168789	16.383041	8.333401	18.380686
0.330000	5.406403	13.251633	16.383041	8.235334	18.336433
0.340000	5.570233	13.333495	16.383041	8.137268	18.292599
0.350000	5.734064	13.414376	16.383041	8.039202	18.249186
0.360000	5.897893	13.494279	16.383041	7.941135	18.206200
0.370000	6.061724	13.573200	16.383041	7.843069	18.163639
0.380000	6.225554	13.651140	16.383041	7.745003	18.121510
0.390000	6.389384	13.728100	16.383041	7.646936	18.079815
0.400000	6.553215	13.804078	16.383041	7.548870	18.038555
0.410000	6.717045	13.879077	16.383041	7.450804	17.997736
0.420000	6.880875	13.953094	16.383041	7.352737	17.957361
0.430000	7.044705	14.026133	16.383041	7.254671	17.917431
0.440000	7.208536	14.098188	16.383041	7.156604	17.877949
0.450000	7.372366	14.169263	16.383041	7.058538	17.838919
0.460000	7.536196	14.239359	16.383041	6.960472	17.800344
0.470000	7.700027	14.308474	16.383041	6.862405	17.762226
0.480000	7.863857	14.376607	16.383041	6.764339	17.724569
0.490000	8.027687	14.443760	16.383041	6.666272	17.687374
0.500000	8.191517	14.509932	16.383041	6.568206	17.650648
0.510000	8.355348	14.575123	16.383041	6.470140	17.614391
0.520000	8.519178	14.639335	16.383041	6.372073	17.578606
0.530000	8.683008	14.702565	16.383041	6.274006	17.543295
0.540000	8.846839	14.764813	16.383041	6.175940	17.508463
0.550000	9.010669	14.826083	16.383041	6.077874	17.474112
0.560000	9.174500	14.886372	16.383041	5.979807	17.440245
0.570000	9.338329	14.945680	16.383041	5.881741	17.406864
0.580000	9.502160	15.004007	16.383041	5.783674	17.373974
0.590000	9.665990	15.061354	16.383041	5.685608	17.341574
0.600000	9.829821	15.117718	16.383041	5.587542	17.309669
0.610000	9.993650	15.173103	16.383041	5.489475	17.278263
0.620000	10.157481	15.227509	16.383041	5.391409	17.247358
0.630000	10.321311	15.280932	16.383041	5.293343	17.216955
0.640000	10.485142	15.333374	16.383041	5.195276	17.187057
0.650000	10.648972	15.384837	16.383041	5.097209	17.157669
0.660000	10.812802	15.435319	16.383041	4.999143	17.128792
0.670000	10.976632	15.484820	16.383041	4.901077	17.100428
0.680000	11.140462	15.533341	16.383041	4.803010	17.072578
0.690000	11.304293	15.580881	16.383041	4.704944	17.045250
0.700000	11.468122	15.627440	16.383041	4.606877	17.018442
0.710000	11.631953	15.673018	16.383041	4.508811	16.992157
0.720000	11.795783	15.717616	16.383041	4.410745	16.966400
0.730000	11.959614	15.761231	16.383041	4.312678	16.941170
0.740000	12.123444	15.803868	16.383041	4.214612	16.916471
0.750000	12.287274	15.845524	16.383041	4.116546	16.892305
0.760000	12.451104	15.886200	16.383041	4.018479	16.868675
0.770000	12.614935	15.925895	16.383041	3.920413	16.845583
0.780000	12.778765	15.964609	16.383041	3.822346	16.823030
0.790000	12.942595	16.002342	16.383041	3.724280	16.801022
0.800000	13.106425	16.039093	16.383041	3.626214	16.779554
0.810000	13.270256	16.074865	16.383041	3.528147	16.758636
0.820000	13.434086	16.109657	16.383041	3.430080	16.738264
0.830000	13.597917	16.143465	16.383041	3.332014	16.718445
0.839999	13.761746	16.176296	16.383041	3.233948	16.699175
0.849999	13.925577	16.208145	16.383041	3.135881	16.680462
0.859999	14.089407	16.239014	16.383041	3.037815	16.662304
0.869999	14.253238	16.268902	16.383041	2.939749	16.644705
0.879999	14.417068	16.297810	16.383041	2.841682	16.627665
0.889999	14.580897	16.325737	16.383041	2.743616	16.611185
0.899999	14.744728	16.352680	16.383041	2.645550	16.595270
0.909999	14.908558	16.378647	16.383041	2.547482	16.579918
0.919999	15.072389	16.403629	16.383041	2.449416	16.565134
0.929999	15.236218	16.427633	16.383041	2.351350	16.550919
0.939999	15.400049	16.450657	16.383041	2.253284	16.537271
0.949999	15.563879	16.472700	16.383041	2.155217	16.524195
0.959999	15.727710	16.493763	16.383041	2.057151	16.511690
0.969999	15.891540	16.513844	16.383041	1.959085	16.499760
0.979999	16.055370	16.532946	16.383041	1.861018	16.488403
0.989999	16.219200	16.551065	16.383041	1.762952	16.477623
0.999999	16.383030	16.568203	16.383041	1.664886	16.467419
1.009999	16.546862	16.584360	16.383041	1.566818	16.457794
1.019999	16.710691	16.599539	16.383041	1.468752	16.448748
1.029999	16.874523	16.613737	16.383041	1.370686	16.440281
1.039999	17.038353	16.626951	16.383041	1.272619	16.432396
1.049999	17.202183	16.639189	16.383041	1.174553	16.425091
1.059999	17.366013	16.650444	16.383041	1.076487	16.418369
1.069999	17.529844	16.660719	16.383041	0.978420	16.412231
1.079999	17.693674	16.670013	16.383041	0.880353	16.406677
