#y0 = 10.000000 m; v0y = -2.000000 m/s; a = 2.000000 m; ymax = 10.000000 m
#t(s)	ysur(m)	vy(m/s)
0.000000	10.000000	-2.000000
0.025000	9.946936	-2.245166
0.050000	9.887741	-2.490333
0.075000	9.822419	-2.735499
0.100000	9.750967	-2.980665
0.125000	9.673386	-3.225831
0.150000	9.589675	-3.470998
0.175000	9.499835	-3.716164
0.200000	9.403868	-3.961330
0.225000	9.301769	-4.206496
0.250000	9.193542	-4.451663
0.275000	9.079185	-4.696829
0.300000	8.958700	-4.941996
0.325000	8.832087	-5.187161
0.350000	8.699343	-5.432328
0.375000	8.560470	-5.677494
0.400000	8.415467	-5.922661
0.425000	8.264337	-6.167827
0.450000	8.107076	-6.412993
0.475000	7.943687	-6.658160
0.500000	7.774168	-6.903326
0.525000	7.598521	-7.148492
0.550000	7.416744	-7.393658
0.575000	7.228838	-7.638824
0.600000	7.034803	-7.883990
0.625000	6.834639	-8.129156
0.650000	6.628345	-8.374322
0.675000	6.415924	-8.619488
0.700000	6.197372	-8.864655
0.725000	5.972691	-9.109819
0.750000	5.741881	-9.354986
0.775000	5.504943	-9.600152
0.800000	5.261874	-9.845318
0.825000	5.012677	-10.090484
0.850000	4.757350	-10.335649
0.875000	4.495895	-10.580816
0.900000	4.228310	-10.825982
0.925000	3.954596	-11.071148
0.950000	3.674753	-11.316314
0.975000	3.388782	-11.561481
1.000000	3.096680	-11.806646
1.025000	2.798449	-12.051813
1.050000	2.494089	-12.296979
1.075000	2.183600	-12.542145
1.100000	1.866983	-12.787311
1.125000	1.544235	-13.032476
1.149999	1.215359	-13.277643
1.174999	0.880354	-13.522809
1.199999	0.539220	-13.767975
1.224999	0.191956	-14.013141
1.249999	0.000000	-14.258307
1.274999	0.000000	-14.503473
1.299999	0.000000	-14.748639
1.324999	0.000000	-14.993805
1.349999	0.000000	-15.238971
1.374999	0.000000	-15.484137
1.399999	0.000000	-15.729303
1.424999	0.000000	-15.974469
1.449999	0.000000	-16.219635
1.474999	0.000000	-16.464802
1.499999	0.000000	-16.709967
1.524999	0.000000	-16.955133
1.549999	0.000000	-17.200298
1.574999	0.000000	-17.445465
1.599999	0.000000	-17.690632
1.624999	0.000000	-17.935797
1.649999	0.000000	-18.180964
1.674999	0.000000	-18.426128
1.699999	0.000000	-18.671295
1.724999	0.000000	-18.916462
1.749999	0.000000	-19.161627
1.774999	0.000000	-19.406794
1.799999	0.000000	-19.651958
1.824999	0.000000	-19.897125
1.849999	0.000000	-20.142292
1.874999	0.000000	-20.387457
1.899999	0.000000	-20.632624
1.924999	0.000000	-20.877789
1.949999	0.000000	-21.122955
1.974999	0.000000	-21.368122
1.999999	0.000000	-21.613287
2.024999	0.000000	-21.858454
2.049999	0.000000	-22.103621
2.074999	0.000000	-22.348787
2.099999	0.000000	-22.593956
2.124999	0.000000	-22.839123
2.149999	0.000000	-23.084290
2.174999	0.000000	-23.329456
2.199999	0.000000	-23.574623
2.224999	0.000000	-23.819792
2.250000	0.000000	-24.064959
2.275000	0.000000	-24.310125
