y0 = 21.000000 m; v0y = 2.200000 m/s; a = 1.000000 m, ymax = 21.246771 m
t(s)	ysur(m)	vy(m/s)
0.00	21.000000	2.200000
0.01	21.021509	2.101933
0.02	21.042040	2.003867
0.03	21.061586	1.905801
0.04	21.080154	1.807734
0.05	21.097742	1.709668
0.06	21.114347	1.611601
0.07	21.129972	1.513535
0.08	21.144619	1.415468
0.09	21.158283	1.317402
0.10	21.170965	1.219335
0.11	21.182671	1.121269
0.12	21.193392	1.023202
0.13	21.203133	0.925136
0.14	21.211895	0.827069
0.15	21.219675	0.729003
0.16	21.226475	0.630936
0.17	21.232294	0.532869
0.18	21.237133	0.434803
0.19	21.240990	0.336736
0.20	21.243868	0.238670
0.21	21.245764	0.140603
0.22	21.246677	0.042537
0.23	21.246614	-0.055530
0.24	21.245567	-0.153596
0.25	21.243542	-0.251663
0.26	21.240536	-0.349729
0.27	21.236547	-0.447796
0.28	21.231579	-0.545862
0.29	21.225632	-0.643929
0.30	21.218700	-0.741995
0.31	21.210791	-0.840061
0.32	21.201900	-0.938128
0.33	21.192028	-1.036194
0.34	21.181175	-1.134260
0.35	21.169344	-1.232327
0.36	21.156528	-1.330393
0.37	21.142735	-1.428460
0.38	21.127960	-1.526526
0.39	21.112204	-1.624593
0.40	21.095469	-1.722659
0.41	21.077751	-1.820725
0.42	21.059053	-1.918792
0.43	21.039375	-2.016858
0.44	21.018717	-2.114925
0.45	20.997078	-2.212991
0.46	20.974457	-2.311057
0.47	20.950857	-2.409124
0.48	20.926275	-2.507190
0.49	20.900711	-2.605257
0.50	20.874170	-2.703323
0.51	20.846645	-2.801389
0.52	20.818142	-2.899456
0.53	20.788658	-2.997523
0.54	20.758192	-3.095589
0.55	20.726744	-3.193655
0.56	20.694319	-3.291722
0.57	20.660912	-3.389788
0.58	20.626522	-3.487855
0.59	20.591154	-3.585921
0.60	20.554804	-3.683987
0.61	20.517473	-3.782054
0.62	20.479162	-3.880120
0.63	20.439873	-3.978186
0.64	20.399599	-4.076253
0.65	20.358347	-4.174319
0.66	20.316113	-4.272386
0.67	20.272898	-4.370452
0.68	20.228703	-4.468518
0.69	20.183529	-4.566585
0.70	20.137373	-4.664652
0.71	20.090235	-4.762718
0.72	20.042118	-4.860785
0.73	19.993019	-4.958851
0.74	19.942940	-5.056917
0.75	19.891882	-5.154984
0.76	19.839842	-5.253050
0.77	19.786819	-5.351116
0.78	19.732821	-5.449183
0.79	19.677837	-5.547249
0.80	19.621874	-5.645315
0.81	19.564932	-5.743382
0.82	19.507008	-5.841449
0.83	19.448101	-5.939515
0.84	19.388218	-6.037581
