#vA= 0.500000 m/s
#vK= 0.250000 m/s
#L0= 3.000000 m
#tS= 12.000000 s
#xS= 6.000000 m
# t(s)	xAchiles(m)	xKorytnacka(m)
0.000000 0.000000 3.000000
0.100000 0.050000 3.025000
0.200000 0.100000 3.050000
0.300000 0.150000 3.075000
0.400000 0.200000 3.100000
0.500000 0.250000 3.125000
0.600000 0.300000 3.150000
0.700000 0.350000 3.175000
0.800000 0.400000 3.200000
0.900000 0.450000 3.225000
1.000000 0.500000 3.250000
1.100000 0.550000 3.275000
1.200000 0.600000 3.300000
1.300000 0.650000 3.325000
1.400000 0.700000 3.350000
1.500000 0.750000 3.375000
1.600000 0.800000 3.400000
1.700000 0.850000 3.425000
1.800000 0.900000 3.450000
1.900000 0.950000 3.475000
2.000000 1.000000 3.500000
2.100000 1.050000 3.525000
2.200000 1.100000 3.550000
2.300000 1.150000 3.575000
2.400000 1.200000 3.600000
2.500000 1.250000 3.625000
2.600000 1.300000 3.650000
2.700000 1.350000 3.675000
2.799999 1.400000 3.700000
2.899999 1.450000 3.725000
2.999999 1.500000 3.750000
3.099999 1.550000 3.775000
3.199999 1.600000 3.800000
3.299999 1.649999 3.825000
3.399999 1.699999 3.850000
3.499999 1.749999 3.875000
3.599999 1.799999 3.900000
3.699999 1.849999 3.925000
3.799999 1.899999 3.950000
3.899998 1.949999 3.975000
3.999998 1.999999 4.000000
4.099998 2.049999 4.025000
4.199998 2.099999 4.050000
4.299998 2.149999 4.075000
4.399998 2.199999 4.099999
4.499998 2.249999 4.125000
4.599998 2.299999 4.150000
4.699998 2.349999 4.174999
4.799998 2.399999 4.199999
4.899998 2.449999 4.224999
4.999998 2.499999 4.250000
5.099998 2.549999 4.275000
5.199997 2.599999 4.299999
5.299997 2.649999 4.324999
5.399997 2.699999 4.349999
5.499997 2.749999 4.374999
5.599997 2.799999 4.399999
5.699997 2.849998 4.424999
5.799997 2.899998 4.449999
5.899997 2.949998 4.474999
5.999997 2.999998 4.499999
6.099997 3.049998 4.524999
6.199996 3.099998 4.549999
6.299996 3.149998 4.574999
6.399996 3.199998 4.599999
6.499996 3.249998 4.624999
6.599996 3.299998 4.649999
6.699996 3.349998 4.674999
6.799996 3.399998 4.699999
6.899996 3.449998 4.724999
6.999996 3.499998 4.749999
7.099996 3.549998 4.774999
7.199996 3.599998 4.799999
7.299995 3.649998 4.824999
7.399995 3.699998 4.849999
7.499995 3.749998 4.874999
7.599995 3.799998 4.899999
7.699995 3.849998 4.924999
7.799995 3.899997 4.949999
7.899995 3.949997 4.974998
7.999995 3.999997 4.999999
8.099995 4.049997 5.024999
8.199995 4.099998 5.049999
8.299995 4.149998 5.074999
8.399996 4.199998 5.099999
8.499996 4.249998 5.124999
8.599997 4.299998 5.149999
8.699997 4.349998 5.174999
