t(s)	ysur(m)	vy(m/s)
0.000000	10.000000	6.000000	0.000000
0.010000	10.059510	5.901934	0.040000
0.020000	10.118038	5.803867	0.080000
0.030000	10.175588	5.705801	0.120000
0.040000	10.232155	5.607734	0.160000
0.050000	10.287742	5.509667	0.200000
0.060000	10.342348	5.411601	0.240000
0.070000	10.395974	5.313535	0.280000
0.080000	10.448618	5.215468	0.320000
0.090000	10.500283	5.117402	0.360000
0.100000	10.550967	5.019335	0.400000
0.110000	10.600670	4.921268	0.440000
0.120000	10.649392	4.823202	0.480000
0.130000	10.697134	4.725136	0.520000
0.140000	10.743895	4.627069	0.560000
0.150000	10.789675	4.529003	0.600000
0.160000	10.834475	4.430936	0.640000
0.170000	10.878294	4.332870	0.680000
0.180000	10.921132	4.234803	0.720000
0.190000	10.962991	4.136736	0.760000
0.200000	11.003867	4.038670	0.800000
0.210000	11.043763	3.940603	0.840000
0.220000	11.082679	3.842537	0.880000
0.230000	11.120614	3.744470	0.920000
0.240000	11.157569	3.646404	0.960000
0.250000	11.193542	3.548337	1.000000
0.260000	11.228536	3.450271	1.040000
0.270000	11.262547	3.352204	1.080000
0.280000	11.295580	3.254138	1.120000
0.290000	11.327630	3.156071	1.160000
0.300000	11.358701	3.058005	1.200000
0.310000	11.388790	2.959939	1.240000
0.320000	11.417900	2.861872	1.280000
0.330000	11.446028	2.763806	1.320000
0.340000	11.473176	2.665740	1.360000
0.350000	11.499342	2.567673	1.400000
0.360000	11.524529	2.469607	1.440000
0.370000	11.548735	2.371540	1.480000
0.380000	11.571959	2.273474	1.520000
0.390000	11.594204	2.175407	1.560000
0.400000	11.615468	2.077341	1.600000
0.410000	11.635751	1.979275	1.640000
0.420000	11.655053	1.881208	1.679999
0.430000	11.673375	1.783142	1.719999
0.440000	11.690717	1.685075	1.759999
0.450000	11.707076	1.587009	1.799999
0.460000	11.722457	1.488943	1.839999
0.470000	11.736856	1.390876	1.879999
0.480000	11.750274	1.292810	1.919999
